time_s,sport_x,sport_y,sport_z,sport_roll,sport_pitch,sport_yaw,sport_vx,sport_vy,sport_vz,sport_yaw_speed,body_height,mode,gait_type,error_code,odom_x,odom_y,odom_z,odom_roll,odom_pitch,odom_yaw,odom_vx,odom_vy,odom_vz,odom_wx,odom_wy,odom_wz
1779593377.414469,-0.129027,-0.019892,0.306632,-0.023718,0.005280,0.537865,-0.000000,0.000000,0.000000,0.009587,0.316236,0,0,100,-0.129031,-0.019887,0.306633,-0.023715,0.005272,0.537842,-0.000000,0.000000,0.000000,-0.008522,-0.012783,0.017044
1779593377.418240,-0.129026,-0.019890,0.306633,-0.023705,0.005292,0.537892,-0.000000,-0.000000,0.000000,0.010653,0.316234,0,0,100,-0.129031,-0.019887,0.306633,-0.023715,0.005272,0.537842,-0.000000,0.000000,0.000000,-0.008522,-0.012783,0.017044
1779593377.420237,-0.129030,-0.019883,0.306633,-0.023710,0.005293,0.537902,-0.000000,0.000000,0.000000,0.002131,0.316234,0,0,100,-0.129026,-0.019890,0.306633,-0.023705,0.005292,0.537892,-0.000000,-0.000000,0.000000,-0.017044,0.003196,0.010653
1779593377.424495,-0.129030,-0.019881,0.306633,-0.023744,0.005287,0.537925,-0.000000,-0.000000,0.000000,0.008522,0.316234,0,0,100,-0.129026,-0.019890,0.306633,-0.023705,0.005292,0.537892,-0.000000,-0.000000,0.000000,-0.017044,0.003196,0.010653
1779593377.428271,-0.129028,-0.019875,0.306633,-0.023752,0.005289,0.537907,0.000000,-0.000000,0.000000,-0.001065,0.316236,0,0,100,-0.129030,-0.019881,0.306633,-0.023744,0.005287,0.537925,-0.000000,-0.000000,0.000000,-0.013848,-0.012783,0.008522
1779593377.430250,-0.129029,-0.019878,0.306633,-0.023752,0.005289,0.537901,-0.000000,-0.000000,0.000000,-0.002131,0.316234,0,0,100,-0.129029,-0.019878,0.306633,-0.023752,0.005289,0.537902,-0.000000,-0.000000,0.000000,-0.003196,0.002131,-0.002131
1779593377.434266,-0.129030,-0.019886,0.306633,-0.023732,0.005272,0.537895,0.000000,-0.000000,0.000000,0.000000,0.316236,0,0,100,-0.129029,-0.019878,0.306633,-0.023752,0.005289,0.537902,-0.000000,-0.000000,0.000000,-0.003196,0.002131,-0.002131
1779593377.438260,-0.129043,-0.019888,0.306633,-0.023717,0.005247,0.537886,-0.000000,-0.000000,0.000000,-0.002131,0.316236,0,0,100,-0.129043,-0.019888,0.306633,-0.023717,0.005247,0.537887,-0.000000,-0.000000,0.000000,-0.006392,-0.001065,-0.002131
1779593377.440242,-0.129047,-0.019894,0.306633,-0.023729,0.005237,0.537879,-0.000000,-0.000000,0.000000,-0.011718,0.316236,0,0,100,-0.129043,-0.019888,0.306633,-0.023717,0.005247,0.537887,-0.000000,-0.000000,0.000000,-0.006392,-0.001065,-0.002131
1779593377.444227,-0.129040,-0.019882,0.306633,-0.023742,0.005247,0.537862,0.000000,-0.000000,0.000000,-0.009587,0.316235,0,0,100,-0.129040,-0.019882,0.306633,-0.023742,0.005247,0.537862,0.000000,-0.000000,0.000000,-0.012783,0.002131,-0.009587
1779593377.448215,-0.129048,-0.019885,0.306633,-0.023769,0.005233,0.537840,-0.000000,-0.000000,0.000000,0.001065,0.316232,0,0,100,-0.129040,-0.019882,0.306633,-0.023742,0.005247,0.537862,0.000000,-0.000000,0.000000,-0.012783,0.002131,-0.009587
1779593377.450210,-0.129042,-0.019873,0.306633,-0.023779,0.005254,0.537819,0.000000,0.000000,0.000000,-0.019175,0.316236,0,0,100,-0.129040,-0.019882,0.306633,-0.023742,0.005247,0.537862,0.000000,-0.000000,0.000000,-0.012783,0.002131,-0.009587
1779593377.454289,-0.129050,-0.019875,0.306633,-0.023795,0.005242,0.537774,-0.000000,-0.000000,0.000000,-0.005326,0.316234,0,0,100,-0.129042,-0.019873,0.306633,-0.023779,0.005254,0.537819,0.000000,0.000000,0.000000,-0.013848,0.009587,-0.019175
1779593377.458241,-0.129048,-0.019876,0.306633,-0.023803,0.005235,0.537731,-0.000000,-0.000000,0.000000,-0.017044,0.316236,0,0,100,-0.129048,-0.019876,0.306633,-0.023803,0.005235,0.537731,-0.000000,-0.000000,0.000000,-0.010653,-0.006392,-0.017044
