ix,iy,x,y,occupied
110,20,2.79162,-1.51986,1
111,20,2.84162,-1.51986,1
112,20,2.89162,-1.51986,1
113,20,2.94162,-1.51986,1
114,20,2.99162,-1.51986,1
115,20,3.04162,-1.51986,1
116,20,3.09162,-1.51986,1
119,20,3.24162,-1.51986,1
120,20,3.29162,-1.51986,1
121,20,3.34162,-1.51986,1
123,20,3.44162,-1.51986,1
124,20,3.49162,-1.51986,1
125,20,3.54162,-1.51986,1
31,21,-1.15838,-1.46986,1
32,21,-1.10838,-1.46986,1
33,21,-1.05838,-1.46986,1
34,21,-1.00838,-1.46986,1
35,21,-0.95838,-1.46986,1
36,21,-0.90838,-1.46986,1
38,21,-0.80838,-1.46986,1
48,21,-0.30838,-1.46986,1
49,21,-0.25838,-1.46986,1
50,21,-0.20838,-1.46986,1
51,21,-0.15838,-1.46986,1
53,21,-0.05838,-1.46986,1
54,21,-0.00838,-1.46986,1
55,21,0.04162,-1.46986,1
57,21,0.14162,-1.46986,1
62,21,0.39162,-1.46986,1
63,21,0.44162,-1.46986,1
64,21,0.49162,-1.46986,1
65,21,0.54162,-1.46986,1
66,21,0.59162,-1.46986,1
67,21,0.64162,-1.46986,1
68,21,0.69162,-1.46986,1
82,21,1.39162,-1.46986,1
83,21,1.44162,-1.46986,1
84,21,1.49162,-1.46986,1
101,21,2.34162,-1.46986,1
102,21,2.39162,-1.46986,1
103,21,2.44162,-1.46986,1
104,21,2.49162,-1.46986,1
107,21,2.64162,-1.46986,1
108,21,2.69162,-1.46986,1
109,21,2.74162,-1.46986,1
119,21,3.24162,-1.46986,1
120,21,3.29162,-1.46986,1
121,21,3.34162,-1.46986,1
122,21,3.39162,-1.46986,1
123,21,3.44162,-1.46986,1
124,21,3.49162,-1.46986,1
21,22,-1.65838,-1.41986,1
22,22,-1.60838,-1.41986,1
23,22,-1.55838,-1.41986,1
31,22,-1.15838,-1.41986,1
34,22,-1.00838,-1.41986,1
35,22,-0.95838,-1.41986,1
39,22,-0.75838,-1.41986,1
40,22,-0.70838,-1.41986,1
49,22,-0.25838,-1.41986,1
50,22,-0.20838,-1.41986,1
51,22,-0.15838,-1.41986,1
52,22,-0.10838,-1.41986,1
53,22,-0.05838,-1.41986,1
54,22,-0.00838,-1.41986,1
63,22,0.44162,-1.41986,1
64,22,0.49162,-1.41986,1
65,22,0.54162,-1.41986,1
66,22,0.59162,-1.41986,1
67,22,0.64162,-1.41986,1
68,22,0.69162,-1.41986,1
69,22,0.74162,-1.41986,1
76,22,1.09162,-1.41986,1
82,22,1.39162,-1.41986,1
112,22,2.89162,-1.41986,1
119,22,3.24162,-1.41986,1
120,22,3.29162,-1.41986,1
123,22,3.44162,-1.41986,1
124,22,3.49162,-1.41986,1
17,23,-1.85838,-1.36986,1
22,23,-1.60838,-1.36986,1
23,23,-1.55838,-1.36986,1
34,23,-1.00838,-1.36986,1
35,23,-0.95838,-1.36986,1
39,23,-0.75838,-1.36986,1
40,23,-0.70838,-1.36986,1
41,23,-0.65838,-1.36986,1
63,23,0.44162,-1.36986,1
64,23,0.49162,-1.36986,1
65,23,0.54162,-1.36986,1
66,23,0.59162,-1.36986,1
67,23,0.64162,-1.36986,1
74,23,0.99162,-1.36986,1
75,23,1.04162,-1.36986,1
78,23,1.19162,-1.36986,1
85,23,1.54162,-1.36986,1
119,23,3.24162,-1.36986,1
120,23,3.29162,-1.36986,1
121,23,3.34162,-1.36986,1
123,23,3.44162,-1.36986,1
124,23,3.49162,-1.36986,1
14,24,-2.00838,-1.31986,1
15,24,-1.95838,-1.31986,1
23,24,-1.55838,-1.31986,1
24,24,-1.50838,-1.31986,1
34,24,-1.00838,-1.31986,1
39,24,-0.75838,-1.31986,1
40,24,-0.70838,-1.31986,1
41,24,-0.65838,-1.31986,1
42,24,-0.60838,-1.31986,1
46,24,-0.40838,-1.31986,1
63,24,0.44162,-1.31986,1
64,24,0.49162,-1.31986,1
65,24,0.54162,-1.31986,1
66,24,0.59162,-1.31986,1
73,24,0.94162,-1.31986,1
74,24,0.99162,-1.31986,1
75,24,1.04162,-1.31986,1
76,24,1.09162,-1.31986,1
79,24,1.24162,-1.31986,1
81,24,1.34162,-1.31986,1
83,24,1.44162,-1.31986,1
84,24,1.49162,-1.31986,1
104,24,2.49162,-1.31986,1
119,24,3.24162,-1.31986,1
120,24,3.29162,-1.31986,1
121,24,3.34162,-1.31986,1
122,24,3.39162,-1.31986,1
123,24,3.44162,-1.31986,1
124,24,3.49162,-1.31986,1
12,25,-2.10838,-1.26986,1
38,25,-0.80838,-1.26986,1
39,25,-0.75838,-1.26986,1
40,25,-0.70838,-1.26986,1
63,25,0.44162,-1.26986,1
64,25,0.49162,-1.26986,1
65,25,0.54162,-1.26986,1
66,25,0.59162,-1.26986,1
73,25,0.94162,-1.26986,1
74,25,0.99162,-1.26986,1
75,25,1.04162,-1.26986,1
76,25,1.09162,-1.26986,1
77,25,1.14162,-1.26986,1
80,25,1.29162,-1.26986,1
105,25,2.54162,-1.26986,1
109,25,2.74162,-1.26986,1
111,25,2.84162,-1.26986,1
116,25,3.09162,-1.26986,1
120,25,3.29162,-1.26986,1
121,25,3.34162,-1.26986,1
122,25,3.39162,-1.26986,1
123,25,3.44162,-1.26986,1
124,25,3.49162,-1.26986,1
125,25,3.54162,-1.26986,1
13,26,-2.05838,-1.21986,1
19,26,-1.75838,-1.21986,1
20,26,-1.70838,-1.21986,1
64,26,0.49162,-1.21986,1
68,26,0.69162,-1.21986,1
72,26,0.89162,-1.21986,1
73,26,0.94162,-1.21986,1
74,26,0.99162,-1.21986,1
77,26,1.14162,-1.21986,1
79,26,1.24162,-1.21986,1
80,26,1.29162,-1.21986,1
81,26,1.34162,-1.21986,1
82,26,1.39162,-1.21986,1
120,26,3.29162,-1.21986,1
121,26,3.34162,-1.21986,1
122,26,3.39162,-1.21986,1
123,26,3.44162,-1.21986,1
124,26,3.49162,-1.21986,1
125,26,3.54162,-1.21986,1
10,27,-2.20838,-1.16986,1
11,27,-2.15838,-1.16986,1
12,27,-2.10838,-1.16986,1
13,27,-2.05838,-1.16986,1
14,27,-2.00838,-1.16986,1
24,27,-1.50838,-1.16986,1
25,27,-1.45838,-1.16986,1
72,27,0.89162,-1.16986,1
73,27,0.94162,-1.16986,1
76,27,1.09162,-1.16986,1
77,27,1.14162,-1.16986,1
78,27,1.19162,-1.16986,1
79,27,1.24162,-1.16986,1
80,27,1.29162,-1.16986,1
81,27,1.34162,-1.16986,1
82,27,1.39162,-1.16986,1
83,27,1.44162,-1.16986,1
104,27,2.49162,-1.16986,1
106,27,2.59162,-1.16986,1
121,27,3.34162,-1.16986,1
122,27,3.39162,-1.16986,1
123,27,3.44162,-1.16986,1
124,27,3.49162,-1.16986,1
125,27,3.54162,-1.16986,1
11,28,-2.15838,-1.11986,1
12,28,-2.10838,-1.11986,1
21,28,-1.65838,-1.11986,1
23,28,-1.55838,-1.11986,1
24,28,-1.50838,-1.11986,1
68,28,0.69162,-1.11986,1
72,28,0.89162,-1.11986,1
75,28,1.04162,-1.11986,1
76,28,1.09162,-1.11986,1
77,28,1.14162,-1.11986,1
78,28,1.19162,-1.11986,1
79,28,1.24162,-1.11986,1
80,28,1.29162,-1.11986,1
81,28,1.34162,-1.11986,1
85,28,1.54162,-1.11986,1
87,28,1.64162,-1.11986,1
113,28,2.94162,-1.11986,1
121,28,3.34162,-1.11986,1
122,28,3.39162,-1.11986,1
123,28,3.44162,-1.11986,1
124,28,3.49162,-1.11986,1
125,28,3.54162,-1.11986,1
12,29,-2.10838,-1.06986,1
24,29,-1.50838,-1.06986,1
42,29,-0.60838,-1.06986,1
68,29,0.69162,-1.06986,1
69,29,0.74162,-1.06986,1
73,29,0.94162,-1.06986,1
76,29,1.09162,-1.06986,1
77,29,1.14162,-1.06986,1
78,29,1.19162,-1.06986,1
79,29,1.24162,-1.06986,1
80,29,1.29162,-1.06986,1
81,29,1.34162,-1.06986,1
82,29,1.39162,-1.06986,1
83,29,1.44162,-1.06986,1
84,29,1.49162,-1.06986,1
85,29,1.54162,-1.06986,1
86,29,1.59162,-1.06986,1
87,29,1.64162,-1.06986,1
104,29,2.49162,-1.06986,1
109,29,2.74162,-1.06986,1
113,29,2.94162,-1.06986,1
120,29,3.29162,-1.06986,1
121,29,3.34162,-1.06986,1
122,29,3.39162,-1.06986,1
123,29,3.44162,-1.06986,1
124,29,3.49162,-1.06986,1
125,29,3.54162,-1.06986,1
11,30,-2.15838,-1.01986,1
20,30,-1.70838,-1.01986,1
21,30,-1.65838,-1.01986,1
24,30,-1.50838,-1.01986,1
25,30,-1.45838,-1.01986,1
31,30,-1.15838,-1.01986,1
33,30,-1.05838,-1.01986,1
38,30,-0.80838,-1.01986,1
67,30,0.64162,-1.01986,1
68,30,0.69162,-1.01986,1
69,30,0.74162,-1.01986,1
71,30,0.84162,-1.01986,1
72,30,0.89162,-1.01986,1
73,30,0.94162,-1.01986,1
75,30,1.04162,-1.01986,1
76,30,1.09162,-1.01986,1
77,30,1.14162,-1.01986,1
78,30,1.19162,-1.01986,1
79,30,1.24162,-1.01986,1
80,30,1.29162,-1.01986,1
81,30,1.34162,-1.01986,1
82,30,1.39162,-1.01986,1
85,30,1.54162,-1.01986,1
86,30,1.59162,-1.01986,1
87,30,1.64162,-1.01986,1
108,30,2.69162,-1.01986,1
110,30,2.79162,-1.01986,1
115,30,3.04162,-1.01986,1
121,30,3.34162,-1.01986,1
122,30,3.39162,-1.01986,1
123,30,3.44162,-1.01986,1
124,30,3.49162,-1.01986,1
125,30,3.54162,-1.01986,1
12,31,-2.10838,-0.96986,1
14,31,-2.00838,-0.96986,1
15,31,-1.95838,-0.96986,1
16,31,-1.90838,-0.96986,1
20,31,-1.70838,-0.96986,1
21,31,-1.65838,-0.96986,1
22,31,-1.60838,-0.96986,1
24,31,-1.50838,-0.96986,1
25,31,-1.45838,-0.96986,1
28,31,-1.30838,-0.96986,1
34,31,-1.00838,-0.96986,1
37,31,-0.85838,-0.96986,1
38,31,-0.80838,-0.96986,1
41,31,-0.65838,-0.96986,1
48,31,-0.30838,-0.96986,1
68,31,0.69162,-0.96986,1
69,31,0.74162,-0.96986,1
71,31,0.84162,-0.96986,1
72,31,0.89162,-0.96986,1
73,31,0.94162,-0.96986,1
75,31,1.04162,-0.96986,1
76,31,1.09162,-0.96986,1
77,31,1.14162,-0.96986,1
78,31,1.19162,-0.96986,1
79,31,1.24162,-0.96986,1
80,31,1.29162,-0.96986,1
81,31,1.34162,-0.96986,1
82,31,1.39162,-0.96986,1
83,31,1.44162,-0.96986,1
84,31,1.49162,-0.96986,1
85,31,1.54162,-0.96986,1
86,31,1.59162,-0.96986,1
87,31,1.64162,-0.96986,1
104,31,2.49162,-0.96986,1
121,31,3.34162,-0.96986,1
122,31,3.39162,-0.96986,1
123,31,3.44162,-0.96986,1
124,31,3.49162,-0.96986,1
125,31,3.54162,-0.96986,1
126,31,3.59162,-0.96986,1
12,32,-2.10838,-0.91986,1
15,32,-1.95838,-0.91986,1
16,32,-1.90838,-0.91986,1
17,32,-1.85838,-0.91986,1
20,32,-1.70838,-0.91986,1
21,32,-1.65838,-0.91986,1
22,32,-1.60838,-0.91986,1
23,32,-1.55838,-0.91986,1
24,32,-1.50838,-0.91986,1
25,32,-1.45838,-0.91986,1
27,32,-1.35838,-0.91986,1
