x,y,z
1.97793,0.102338,0.184743
3.40285,-1.14857,0.926142
3.38326,-1.1402,0.834163
3.39602,-1.14745,0.749956
3.51118,-1.20424,0.680866
3.51223,-1.20579,0.591999
3.51027,-1.20585,0.503277
3.50622,-1.20484,0.414895
3.50009,-1.20277,0.326914
3.5099,-1.20837,0.239421
3.50867,-1.20854,0.151652
1.59284,-1.01752,0.501414
2.26976,-1.79119,0.521169
2.27142,-1.78524,0.449608
1.51773,-0.911783,0.317476
2.27165,-1.76984,0.307694
2.26958,-1.75965,0.237389
2.27952,-1.76308,0.1671
0.924627,-0.986961,0.340606
0.945291,-1.03404,0.30926
1.20311,-1.7672,0.295598
1.22624,-1.81193,0.240127
1.2329,-1.80893,0.183288
0.426234,-1.59901,0.166684
0.752495,1.18179,0.16604
0.743555,1.17719,0.216684
0.737569,1.16855,0.241654
0.736244,1.17869,0.266734
1.93296,2.27763,0.203791
1.24184,1.29795,0.252925
1.91054,2.28695,0.398201
1.90114,2.28722,0.462844
2.91383,1.8161,0.184502
2.90307,1.8149,0.259901
2.89904,1.81805,0.335109
2.89338,1.82009,0.410252
2.88608,1.82101,0.485277
1.68333,1.02504,0.396832
1.46738,0.883426,0.398289
3.02535,0.700618,0.18082
3.02611,0.699405,0.248195
3.03399,0.699437,0.315844
3.03127,0.697493,0.383391
3.03663,0.696968,0.451675
3.03041,0.694313,0.519233
3.04196,0.694821,0.589315
2.53583,0.602625,0.574174
2.51691,0.597941,0.626426
2.55344,0.603115,0.690495
2.39983,-0.129754,0.167723
1.80133,-0.0175538,0.223385
1.69452,-0.000134915,0.256092
1.64487,0.00629428,0.285729
1.60437,0.0111114,0.313472
1.61102,0.0062744,0.343826
1.61587,0.00174254,0.374502
1.62085,-0.00288633,0.405694
1.61534,-0.00529408,0.435549
1.61864,-0.00966486,0.467256
3.42167,-1.64604,0.220463
3.39435,-1.64991,0.309604
3.3818,-1.66337,0.398605
3.38383,-1.68663,0.488951
3.37459,-1.7026,0.579052
3.37227,-1.72347,0.67074
3.37586,-1.74873,0.764643
3.37627,-1.7722,0.859527
3.37509,-1.79496,0.955646
1.96085,-1.91145,0.212928
1.35431,-1.03938,0.260271
1.30155,-0.979456,0.295902
1.34974,-1.09409,0.381633
0.763195,-0.922885,0.165096
0.755744,-0.935131,0.194682
0.746093,-0.937806,0.224801
0.736261,-0.939667,0.254924
0.726258,-0.940712,0.28503
0.716092,-0.94094,0.3151
0.497605,1.70699,0.15458
0.165832,-1.64951,0.152038
0.149355,-1.64801,0.199866
0.863525,1.16688,0.294715
0.875452,1.17417,0.270401
0.879539,1.16233,0.245317
0.906477,1.20413,0.219975
1.29382,1.0948,0.365814
1.3496,1.14072,0.342552
1.38488,1.16407,0.313855
1.33096,1.09609,0.278335
1.42106,1.17398,0.249807
2.01519,1.74642,0.206325
1.52481,1.24834,0.178989
1.43197,1.14503,0.151473
3.74028,1.71084,0.949646
3.93259,1.77422,0.890309
3.92817,1.74939,0.789198
3.92196,1.72416,0.689347
3.92133,1.70165,0.591518
3.92735,1.68217,0.49516
3.81357,1.6136,0.393477
3.91442,1.63354,0.303128
3.91305,1.61165,0.20843
2.46364,0.308645,0.685192
2.46512,0.302148,0.63188
2.96931,0.306974,0.667226
3.67913,0.312521,0.706611
2.05191,0.27639,0.423618
1.90012,0.269511,0.368173
1.86429,0.264744,0.328951
1.92528,0.26086,0.295919
3.73415,0.262405,0.289597
3.73452,0.252408,0.205246
3.33636,-0.886482,0.905314
3.33268,-0.887392,0.821142
3.33602,-0.891096,0.739227
3.51826,-0.96708,0.684455
1.72555,-0.243441,0.38207
1.61113,-0.19797,0.33665
1.63975,-0.210459,0.306936
1.63156,-0.207978,0.274392
1.78647,-0.272013,0.243412
1.83127,-0.291235,0.206043
1.91207,-0.325229,0.164261
2.3633,-1.50442,0.684479
2.36651,-1.5025,0.615821
2.36836,-1.49932,0.54742
2.37615,-1.50172,0.480277
2.37609,-1.49676,0.412346
2.3813,-1.49669,0.345151
2.38524,-1.4954,0.277883
2.39451,-1.49899,0.210502
1.10503,-1.09146,0.383492
0.993912,-0.833483,0.324062
1.33259,-1.557,0.279525
1.3341,-1.54582,0.227764
1.43018,-1.73829,0.169693
0.550955,-0.5883,0.246686
0.553054,-0.568162,0.22525
0.555031,-0.548483,0.204822
0.561,-0.545418,0.163537
0.650645,1.17409,0.16981
0.645715,1.16615,0.194714
0.642205,1.16743,0.218944
0.640005,1.17797,0.243261
1.07002,1.187,0.233474
1.057,1.17227,0.261686
2.0054,1.38221,0.180321
1.99655,1.38029,0.229747
1.99383,1.38301,0.278914
1.99011,1.38492,0.328055
1.64401,1.12165,0.344523
1.36091,0.91074,0.404481
2.6106,0.835928,0.171818
2.61143,0.836294,0.229375
2.62044,0.838934,0.287174
2.61837,0.838398,0.344965
2.62445,0.840136,0.403441
2.62903,0.841422,0.462326
2.63114,0.841985,0.52145
2.63268,0.842367,0.581
2.56738,0.823791,0.628393
1.75975,0.11571,0.158871
2.02553,0.0862223,0.183034
2.05483,0.0796648,0.222927
1.8096,0.101674,0.259214
1.74063,0.105946,0.290586
1.7771,0.098965,0.325912
1.76405,0.0973275,0.358498
1.76004,0.094687,0.391706
1.75517,0.0921333,0.424805
1.7592,0.0885043,0.459519
1.74281,0.0873046,0.490585
1.74501,0.0838355,0.52548
3.47701,-1.29482,0.165107
