ix,iy,x,y,occupied
7,15,-1.98338,-0.99486,1
8,15,-1.88338,-0.99486,1
10,15,-1.68338,-0.99486,1
11,15,-1.58338,-0.99486,1
12,15,-1.48338,-0.99486,1
14,15,-1.28338,-0.99486,1
15,15,-1.18338,-0.99486,1
16,15,-1.08338,-0.99486,1
17,15,-0.98338,-0.99486,1
18,15,-0.88338,-0.99486,1
19,15,-0.78338,-0.99486,1
20,15,-0.68338,-0.99486,1
24,15,-0.28338,-0.99486,1
33,15,0.61662,-0.99486,1
34,15,0.71662,-0.99486,1
35,15,0.81662,-0.99486,1
36,15,0.91662,-0.99486,1
37,15,1.01662,-0.99486,1
38,15,1.11662,-0.99486,1
39,15,1.21662,-0.99486,1
40,15,1.31662,-0.99486,1
41,15,1.41662,-0.99486,1
42,15,1.51662,-0.99486,1
43,15,1.61662,-0.99486,1
52,15,2.51662,-0.99486,1
54,15,2.71662,-0.99486,1
55,15,2.81662,-0.99486,1
57,15,3.01662,-0.99486,1
60,15,3.31662,-0.99486,1
61,15,3.41662,-0.99486,1
62,15,3.51662,-0.99486,1
63,15,3.61662,-0.99486,1
6,16,-2.08338,-0.89486,1
7,16,-1.98338,-0.89486,1
8,16,-1.88338,-0.89486,1
9,16,-1.78338,-0.89486,1
10,16,-1.68338,-0.89486,1
11,16,-1.58338,-0.89486,1
12,16,-1.48338,-0.89486,1
13,16,-1.38338,-0.89486,1
14,16,-1.28338,-0.89486,1
15,16,-1.18338,-0.89486,1
16,16,-1.08338,-0.89486,1
17,16,-0.98338,-0.89486,1
18,16,-0.88338,-0.89486,1
19,16,-0.78338,-0.89486,1
20,16,-0.68338,-0.89486,1
21,16,-0.58338,-0.89486,1
22,16,-0.48338,-0.89486,1
23,16,-0.38338,-0.89486,1
33,16,0.61662,-0.89486,1
34,16,0.71662,-0.89486,1
35,16,0.81662,-0.89486,1
36,16,0.91662,-0.89486,1
37,16,1.01662,-0.89486,1
38,16,1.11662,-0.89486,1
39,16,1.21662,-0.89486,1
40,16,1.31662,-0.89486,1
41,16,1.41662,-0.89486,1
42,16,1.51662,-0.89486,1
43,16,1.61662,-0.89486,1
60,16,3.31662,-0.89486,1
61,16,3.41662,-0.89486,1
62,16,3.51662,-0.89486,1
63,16,3.61662,-0.89486,1
6,17,-2.08338,-0.79486,1
7,17,-1.98338,-0.79486,1
8,17,-1.88338,-0.79486,1
9,17,-1.78338,-0.79486,1
10,17,-1.68338,-0.79486,1
11,17,-1.58338,-0.79486,1
14,17,-1.28338,-0.79486,1
15,17,-1.18338,-0.79486,1
16,17,-1.08338,-0.79486,1
17,17,-0.98338,-0.79486,1
18,17,-0.88338,-0.79486,1
19,17,-0.78338,-0.79486,1
20,17,-0.68338,-0.79486,1
21,17,-0.58338,-0.79486,1
25,17,-0.18338,-0.79486,1
26,17,-0.08338,-0.79486,1
27,17,0.01662,-0.79486,1
30,17,0.31662,-0.79486,1
32,17,0.51662,-0.79486,1
33,17,0.61662,-0.79486,1
35,17,0.81662,-0.79486,1
36,17,0.91662,-0.79486,1
37,17,1.01662,-0.79486,1
38,17,1.11662,-0.79486,1
39,17,1.21662,-0.79486,1
40,17,1.31662,-0.79486,1
41,17,1.41662,-0.79486,1
42,17,1.51662,-0.79486,1
53,17,2.61662,-0.79486,1
61,17,3.41662,-0.79486,1
62,17,3.51662,-0.79486,1
63,17,3.61662,-0.79486,1
64,17,3.71662,-0.79486,1
6,18,-2.08338,-0.69486,1
7,18,-1.98338,-0.69486,1
8,18,-1.88338,-0.69486,1
9,18,-1.78338,-0.69486,1
10,18,-1.68338,-0.69486,1
15,18,-1.18338,-0.69486,1
16,18,-1.08338,-0.69486,1
17,18,-0.98338,-0.69486,1
18,18,-0.88338,-0.69486,1
19,18,-0.78338,-0.69486,1
20,18,-0.68338,-0.69486,1
21,18,-0.58338,-0.69486,1
22,18,-0.48338,-0.69486,1
26,18,-0.08338,-0.69486,1
27,18,0.01662,-0.69486,1
31,18,0.41662,-0.69486,1
32,18,0.51662,-0.69486,1
33,18,0.61662,-0.69486,1
34,18,0.71662,-0.69486,1
35,18,0.81662,-0.69486,1
36,18,0.91662,-0.69486,1
37,18,1.01662,-0.69486,1
38,18,1.11662,-0.69486,1
39,18,1.21662,-0.69486,1
40,18,1.31662,-0.69486,1
60,18,3.31662,-0.69486,1
61,18,3.41662,-0.69486,1
62,18,3.51662,-0.69486,1
